Player1Spin,WinProb1NoSpin,WinProb2NoSpin,WinProb3NoSpin,WinProb1Spin,WinProb2Spin,WinProb3Spin,PolicyDecision
1,0.00034375,0.457641,0.542016,0.205947,0.375509,0.418545,1
2,0.00121458,0.45763,0.541155,0.205886,0.375509,0.418605,1
3,0.00285208,0.457571,0.539577,0.205743,0.375513,0.418744,1
4,0.00539687,0.457388,0.537216,0.205473,0.375525,0.419001,1
5,0.00906458,0.456968,0.533968,0.20502,0.375559,0.419421,1
6,0.0141458,0.456161,0.529693,0.204313,0.375633,0.420054,1
7,0.0210063,0.454781,0.524212,0.203263,0.375776,0.420961,1
8,0.0300865,0.452602,0.517311,0.201758,0.376028,0.422214,1
9,0.0419021,0.449361,0.508736,0.199663,0.376442,0.423895,1
10,0.0570437,0.444759,0.498197,0.196811,0.377086,0.426103,1
11,0.0834583,0.438161,0.47838,0.192638,0.37806,0.429302,1
12,0.11829,0.426024,0.455686,0.186724,0.379641,0.433636,1
13,0.163188,0.40755,0.429262,0.178564,0.382145,0.439291,1
14,0.215631,0.3828,0.401569,0.167783,0.385887,0.44633,0
15,0.284158,0.352077,0.363765,0.153575,0.391165,0.45526,0
16,0.368177,0.31263,0.319193,0.135166,0.398416,0.466418,0
17,0.4699,0.263475,0.266625,0.111671,0.408124,0.480205,0
18,0.59169,0.203577,0.204733,0.0820864,0.420827,0.497086,0
19,0.736058,0.131852,0.13209,0.0452834,0.437117,0.5176,0
20,0.905669,0.0471656,0.0471656,-1,-1,-1,0
