Player1Score,Player2Spin,WinProb1NoSpin,WinProb2NoSpin,WinProb3NoSpin,WinProb1Spin,WinProb2Spin,WinProb3Spin,PolicyDecision
0,1,0,0.0025,0.9975,0,0.339875,0.660125,1
0,2,0,0.00875,0.99125,0,0.339438,0.660563,1
0,3,0,0.02,0.98,0,0.338438,0.661563,1
0,4,0,0.03625,0.96375,0,0.336625,0.663375,1
0,5,0,0.0575,0.9425,0,0.33375,0.66625,1
0,6,0,0.08375,0.91625,0,0.329562,0.670438,1
0,7,0,0.115,0.885,0,0.323813,0.676188,1
0,8,0,0.15125,0.84875,0,0.31625,0.68375,1
0,9,0,0.1925,0.8075,0,0.306625,0.693375,1
0,10,0,0.23875,0.76125,0,0.294687,0.705313,1
0,11,0,0.2875,0.7125,0,0.280313,0.719688,0
0,12,0,0.34125,0.65875,0,0.26325,0.73675,0
0,13,0,0.4,0.6,0,0.24325,0.75675,0
0,14,0,0.46375,0.53625,0,0.220062,0.779937,0
0,15,0,0.5325,0.4675,0,0.193438,0.806562,0
0,16,0,0.60625,0.39375,0,0.163125,0.836875,0
0,17,0,0.685,0.315,0,0.128875,0.871125,0
0,18,0,0.76875,0.23125,0,0.0904375,0.909563,0
0,19,0,0.8575,0.1425,0,0.0475625,0.952438,0
0,20,0,0.95125,0.04875,-1,-1,-1,0
1,1,0.00125,0.00125,0.9975,0.000125,0.339875,0.66,1
1,2,0,0.00875,0.99125,0.00025,0.339438,0.660312,1
1,3,0,0.02,0.98,0.000375,0.338438,0.661188,1
1,4,0,0.03625,0.96375,0.0005,0.336625,0.662875,1
1,5,0,0.0575,0.9425,0.000625,0.33375,0.665625,1
1,6,0,0.08375,0.91625,0.00075,0.329562,0.669687,1
1,7,0,0.115,0.885,0.000875,0.323813,0.675312,1
1,8,0,0.15125,0.84875,0.001,0.31625,0.68275,1
1,9,0,0.1925,0.8075,0.001125,0.306625,0.69225,1
1,10,0,0.23875,0.76125,0.00125,0.294687,0.704063,1
1,11,0,0.2875,0.7125,0.001375,0.280313,0.718313,0
1,12,0,0.34125,0.65875,0.0015,0.26325,0.73525,0
1,13,0,0.4,0.6,0.001625,0.24325,0.755125,0
1,14,0,0.46375,0.53625,0.00175,0.220062,0.778188,0
1,15,0,0.5325,0.4675,0.001875,0.193438,0.804688,0
1,16,0,0.60625,0.39375,0.002,0.163125,0.834875,0
1,17,0,0.685,0.315,0.002125,0.128875,0.869,0
1,18,0,0.76875,0.23125,0.00225,0.0904375,0.907312,0
1,19,0,0.8575,0.1425,0.002375,0.0475625,0.950063,0
1,20,0,0.95125,0.04875,-1,-1,-1,0
2,1,0.00875,0,0.99125,0.000666667,0.339667,0.659667,1
2,2,0.00458333,0.00458333,0.990833,0.000875,0.339438,0.659687,1
2,3,0,0.02,0.98,0.0013125,0.338438,0.66025,1
2,4,0,0.03625,0.96375,0.00175,0.336625,0.661625,1
2,5,0,0.0575,0.9425,0.0021875,0.33375,0.664062,1
2,6,0,0.08375,0.91625,0.002625,0.329562,0.667813,1
2,7,0,0.115,0.885,0.0030625,0.323813,0.673125,1
2,8,0,0.15125,0.84875,0.0035,0.31625,0.68025,1
2,9,0,0.1925,0.8075,0.0039375,0.306625,0.689438,1
2,10,0,0.23875,0.76125,0.004375,0.294687,0.700937,1
2,11,0,0.2875,0.7125,0.0048125,0.280313,0.714875,0
2,12,0,0.34125,0.65875,0.00525,0.26325,0.7315,0
2,13,0,0.4,0.6,0.0056875,0.24325,0.751062,0
2,14,0,0.46375,0.53625,0.006125,0.220062,0.773813,0
2,15,0,0.5325,0.4675,0.0065625,0.193438,0.8,0
2,16,0,0.60625,0.39375,0.007,0.163125,0.829875,0
2,17,0,0.685,0.315,0.0074375,0.128875,0.863688,0
2,18,0,0.76875,0.23125,0.007875,0.0904375,0.901687,0
2,19,0,0.8575,0.1425,0.0083125,0.0475625,0.944125,0
2,20,0,0.95125,0.04875,-1,-1,-1,0
3,1,0.02,0,0.98,0.00252083,0.338958,0.658521,1
3,2,0.02,0,0.98,0.00252083,0.338958,0.658521,1
3,3,0.0104167,0.0104167,0.979167,0.003,0.338438,0.658563,1
3,4,0,0.03625,0.96375,0.004,0.336625,0.659375,1
3,5,0,0.0575,0.9425,0.005,0.33375,0.66125,1
3,6,0,0.08375,0.91625,0.006,0.329562,0.664438,1
3,7,0,0.115,0.885,0.007,0.323813,0.669188,1
3,8,0,0.15125,0.84875,0.008,0.31625,0.67575,1
3,9,0,0.1925,0.8075,0.009,0.306625,0.684375,1
3,10,0,0.23875,0.76125,0.01,0.294687,0.695312,1
3,11,0,0.2875,0.7125,0.011,0.280313,0.708688,0
3,12,0,0.34125,0.65875,0.012,0.26325,0.72475,0
3,13,0,0.4,0.6,0.013,0.24325,0.74375,0
3,14,0,0.46375,0.53625,0.014,0.220062,0.765938,0
