Lambda,FirstPlayerWinProb,SecondPlayerWinProb,ThirdPlayerWinProb
0,0.207808,0.372433,0.41976
0.151419,0.210272,0.371382,0.418346
0.325765,0.213101,0.370177,0.416723
0.526511,0.216331,0.3688,0.414869
0.757654,0.22,0.367237,0.412763
1.0238,0.224127,0.36548,0.410393
1.33024,0.228717,0.363527,0.407756
1.68308,0.233748,0.361388,0.404864
2.08935,0.239166,0.359089,0.401746
2.55713,0.244883,0.356666,0.398451
3.09575,0.250782,0.354172,0.395046
3.71592,0.256745,0.351658,0.391597
4.43,0.262654,0.349172,0.388174
5.25221,0.268417,0.346754,0.384829
6.19891,0.273964,0.344429,0.381607
7.28896,0.279243,0.342218,0.378539
8.54407,0.2842,0.34014,0.37566
9.98922,0.288773,0.338218,0.373009
11.6532,0.2929,0.336477,0.370623
13.5691,0.296503,0.334949,0.368548
15.7752,0.299487,0.333676,0.366837
18.3152,0.301886,0.332644,0.36547
21.2399,0.303731,0.331842,0.364427
24.6075,0.305065,0.331254,0.36368
28.4849,0.306004,0.330835,0.363162
32.9495,0.30665,0.330541,0.362809
38.0901,0.307117,0.330326,0.362557
44.0091,0.307395,0.330192,0.362413
50.8243,0.307587,0.330095,0.362317
58.6715,0.307727,0.330022,0.362252
67.7069,0.307831,0.32996,0.36221
78.1104,0.307905,0.329909,0.362187
90.0893,0.307962,0.329861,0.362177
103.882,0.308008,0.329815,0.362177
119.763,0.308041,0.329775,0.362184
138.049,0.308069,0.329736,0.362195
159.103,0.308093,0.329701,0.362206
183.346,0.308111,0.329672,0.362217
211.26,0.308126,0.329648,0.362227
243.4,0.308137,0.32963,0.362234
280.406,0.308144,0.329617,0.362239
323.017,0.308149,0.329609,0.362242
372.079,0.308152,0.329604,0.362244
428.57,0.308153,0.329602,0.362245
493.615,0.308154,0.3296,0.362246
568.509,0.308154,0.3296,0.362246
654.744,0.308154,0.3296,0.362246
754.036,0.308154,0.3296,0.362246
868.362,0.308154,0.3296,0.362246
1000,0.308154,0.3296,0.362246
