Lambda,FirstPlayerWinProb,SecondPlayerWinProb,ThirdPlayerWinProb
0,0.333333,0.333333,0.333333
0.151419,0.33023,0.332418,0.337351
0.325765,0.326803,0.331401,0.341795
0.526511,0.323093,0.33029,0.346618
0.757654,0.319176,0.329114,0.351709
1.0238,0.31518,0.327923,0.356896
1.33024,0.311276,0.326819,0.361906
1.68308,0.307691,0.325872,0.366437
2.08935,0.304652,0.325192,0.370156
2.55713,0.302347,0.324855,0.372799
3.09575,0.300875,0.324892,0.374233
3.71592,0.300234,0.325269,0.374497
4.43,0.300313,0.325904,0.373783
5.25221,0.300941,0.326683,0.372376
6.19891,0.301935,0.32749,0.370576
7.28896,0.303115,0.32821,0.368674
8.54407,0.304367,0.328851,0.366782
9.98922,0.30562,0.329282,0.365098
11.6532,0.306768,0.329587,0.363645
13.5691,0.307755,0.329757,0.362488
15.7752,0.308491,0.329852,0.361657
18.3152,0.309016,0.329874,0.36111
21.2399,0.309331,0.329887,0.360783
24.6075,0.309445,0.329886,0.360669
28.4849,0.309426,0.32989,0.360683
32.9495,0.309336,0.32988,0.360784
38.0901,0.309245,0.32987,0.360885
44.0091,0.309089,0.329874,0.361037
50.8243,0.30895,0.329877,0.361174
58.6715,0.308829,0.329858,0.361313
67.7069,0.308724,0.329845,0.361431
78.1104,0.308629,0.329819,0.361553
90.0893,0.30854,0.32979,0.36167
103.882,0.308457,0.329758,0.361785
119.763,0.308389,0.329725,0.361886
138.049,0.308332,0.329695,0.361973
159.103,0.308289,0.329666,0.362045
183.346,0.308255,0.329643,0.362103
211.26,0.308231,0.329624,0.362145
243.4,0.308214,0.329611,0.362175
280.406,0.308199,0.329601,0.3622
323.017,0.308188,0.329598,0.362213
372.079,0.30818,0.329597,0.362224
428.57,0.308172,0.329597,0.362231
493.615,0.308166,0.329597,0.362237
568.509,0.308161,0.329598,0.36224
654.744,0.308158,0.329599,0.362243
754.036,0.308156,0.3296,0.362244
868.362,0.308155,0.3296,0.362245
1000,0.308154,0.3296,0.362246
